"ID","State","County","Region","BaySegment","Name","SubName","OtherName","cpntLongitude","cpntLatitude","YatesBar","AREA_AC","AREA_SQM","NOAACode","NOAAName","SiteType","DzKeyBar","SpatKeyBar","ReportRegion"
"BRCDN0","MD","TA","BROAD CREEK","CHOMH1","DEEP NECK","","ICE HOUSE,PINEY POINT",-76.247963,38.733933,"Y",512.23,2072902,537,"BROAD CREEK (CHOPTANK RIVER TRIBUTARY)","","Yes","Yes","BROAD CREEK"
"BRCRO0","MD","TA","BROAD CREEK","CHOMH1","ROYSTON","","ROSENS,ROSS ISLAND,ROSSIN ISLAND",-76.245194,38.685425,"Y",1311.9,5309064,137,"CHOPTANK RIVER BELOW CASTLEHAVEN","","Yes","Yes","BROAD CREEK"
"EBNBG0","MD","QA","EASTERN BAY NORTH","EASMH","BUGBY","","BUSBY STONEPILE,STANLEY REEF",-76.221222,38.882164,"Y",1112.9,4503736,39,"EASTERN BAY","","Yes","","EASTERN BAY"
"EBNHN0","MD","QA","EASTERN BAY NORTH","EASMH","HOLLICUTTS NOOSE","","",-76.348435,38.84756,"",862.49,3490356,39,"EASTERN BAY","","Yes","Yes","EASTERN BAY"
"EBNPI0","MD","QA","EASTERN BAY NORTH","EASMH","PARSONS ISLAND","","",-76.262796,38.901805,"Y",338.82,1371142,39,"EASTERN BAY","","Yes","Yes","EASTERN BAY"
"EBNWG0","MD","QA","EASTERN BAY NORTH","EASMH","WILD GROUND","","",-76.317697,38.893282,"Y",532.23,2153847,39,"EASTERN BAY","","","Yes","EASTERN BAY"
"FIBCI0","MD","DO","FISHING BAY","FSBMH","CLAY ISLAND","","BIRTH BAR,CLAY POINT",-75.98215,38.234647,"Y",396,1602536,43,"FISHING BAY","","","Yes","FISHING BAY"
"FIBGC0","MD","DO","FISHING BAY","FSBMH","GOOSE CREEK","","",-76.020799,38.26729,"Y",756.77,3062547,43,"FISHING BAY","","Yes","Yes","FISHING BAY"
"HACEP0","MD","TA","HARRIS CREEK","CHOMH1","EAGLE POINT","","BALD EAGLE,LOMAX,MITCHELL,MITCHELL BAR",-76.30749,38.731062,"Y",154.25,624242,437,"HARRIS CREEK","","","Yes","HARRIS CREEK"
"HACMP0","MD","TA","HARRIS CREEK","CHOMH1","MILL POINT","","MILL BAR",-76.302902,38.741008,"Y",213.67,864682,437,"HARRIS CREEK","","","Yes","HARRIS CREEK"
"HACTW0","MD","TA","HARRIS CREEK","CHOMH1","TILGHMAN WHARF","","DEVILS ISLAND,FLATS,MIDDLE GROUND,PIG PEN,STRAW STACK",-76.321632,38.705571,"Y",759.37,3073069,437,"HARRIS CREEK","","Yes","Yes","HARRIS CREEK"
"HLSHS0","MD","SO","HOLLAND STRAITS","TANMH","HOLLAND STRAITS","","",-76.018568,38.148795,"",473.51,1916245,292,"TANGIER SOUND NORTH OF WENONA","","Yes","","LOWER BAY EAST"
"HORNO1","MD","DO","HONGA RIVER","HNGMH","NORMAN ADD 1","ADDITION 1","",-76.132561,38.251642,"",383.29,1551106,47,"HONGA RIVER","","Yes","Yes","HONGA RIVER"
"HORWI0","MD","DO","HONGA RIVER","HNGMH","WINDMILL","","",-76.158969,38.272216,"Y",523.85,2119937,47,"HONGA RIVER","","","Yes","HONGA RIVER"
"KESBH0","MD","QA","KENT SHORE","CB4MH","BRICK HOUSE","","",-76.369771,38.946532,"Y",886.21,3586354,127,"CHESAPEAKE BAY SOUTH OF BRIDGE AND NORTH OF LINE BETWEEN FAIRHAVEN AND KENT POINT","","","Yes","MID-BAY EAST"
"LAAHA0","MD","AA","LOWER ANNE ARUNDEL SHORE","CB4MH","HACKETT POINT","","HACKETTS BAR",-76.41913,38.977937,"Y",1115.62,4514755,127,"CHESAPEAKE BAY SOUTH OF BRIDGE AND NORTH OF LINE BETWEEN FAIRHAVEN AND KENT POINT","","Yes","Yes","MID-BAY WEST"
"LAAHP0","MD","AA","LOWER ANNE ARUNDEL SHORE","CB4MH","HOLLAND POINT","","",-76.515286,38.743698,"Y",2646.89,10711601,27,"CHESAPEAKE BAY NORTH OF COVE POINT TO AREA 127","","Yes","Yes","MID-BAY WEST"
"LAATH0","MD","AA","LOWER ANNE ARUNDEL SHORE","CB4MH","THREE SISTERS","","COOTS,EDGE OF DEEP WATER,NORTH WILDGROUND,SUNKEN ISLAND,WILDGROUND,SHUFFLERS",-76.464202,38.845393,"Y",2604.24,10539001,127,"CHESAPEAKE BAY SOUTH OF BRIDGE AND NORTH OF LINE BETWEEN FAIRHAVEN AND KENT POINT","","","Yes","MID-BAY WEST"
"LAATP0","MD","AA","LOWER ANNE ARUNDEL SHORE","CB4MH","TOLLY POINT","","TALANCE,TALIS,TALLEYS",-76.442392,38.946255,"Y",895.49,3623916,127,"CHESAPEAKE BAY SOUTH OF BRIDGE AND NORTH OF LINE BETWEEN FAIRHAVEN AND KENT POINT","","","Yes","MID-BAY WEST"
"LCHBR0","MD","KE","LOWER CHESTER RIVER","CHSMH","BUOY ROCK","","BOWIE,DEVILS PLAYGROUND",-76.223143,38.998837,"Y",323.13,1307655,131,"CHESTER RIVER BELOW QUEENSTOWN CREEK","","Yes","Yes","CHESTER RIVER"
